BOARD;CHANNEL;TIMETAG;ENERGY;CALIB_ENERGY;ENERGYSHORT;FLAGS
0;0;5100370620000;128;89.7459;17;0x0
0;0;5243575848000;99;69.4129;17;0x0
0;0;5253451328000;184;129.01;19;0x0
0;0;5408988536000;45;31.5513;16;0x0
0;0;5452833432000;295;206.836;30;0x0
0;0;5456658460000;236;165.469;27;0x0
0;0;5537899696000;227;159.159;28;0x0
0;0;5574871036000;242;169.676;25;0x0
0;1;5100370608000;559;592.261;58;0x0
0;1;5243575836000;633;670.664;66;0x0
0;1;5253451324000;554;586.963;59;0x0
0;1;5408988448000;645;683.378;65;0x0
0;1;5452833444000;132;139.854;19;0x0
0;1;5456658472000;135;143.033;20;0x0
0;1;5537899700000;147;155.747;21;0x0
0;1;5574871044000;158;167.401;20;0x0
0;1;5630208892000;528;559.416;64;0x0
0;1;5737841536000;601;636.76;59;0x0
0;0;5630208896000;178;124.803;21;0x0
0;0;5737841552000;66;46.2752;12;0x0
0;0;5766373940000;184;129.01;25;0x0
0;0;5770634168000;1049;735.496;82;0x0
0;0;5828786228000;66;46.2752;11;0x0
0;0;5834256164000;195;136.722;24;0x0
0;0;5838109124000;143;100.263;16;0x0
0;0;5913298272000;455;319.019;47;0x0
0;0;5940901592000;165;115.688;20;0x0
0;0;5988069216000;205;143.734;23;0x0
0;1;5766373936000;513;543.524;50;0x0
0;1;5770634168000;688;728.936;58;0x0
0;1;5828786232000;125;132.438;24;0x0
0;1;5834256156000;512;542.464;46;0x0
0;1;5838109152000;85;90.0575;25;0x0
0;1;5913298284000;248;262.756;41;0x0
0;1;5940901580000;522;553.059;58;0x0
0;1;5988069212000;351;371.885;44;0x0
0;1;6065511444000;1478;1565.94;118;0x0
0;1;6336461784000;341;361.29;41;0x0
0;0;6065511464000;112;78.5277;16;0x0
0;0;6336461788000;282;197.721;35;0x0
0;0;6348646076000;58;40.6661;12;0x0
0;0;6357440044000;270;189.308;35;0x0
0;0;6405147356000;88;61.7003;13;0x0
0;0;6476382296000;197;138.125;23;0x0
0;0;6530073148000;306;214.549;37;0x0
0;0;6537143140000;182;127.607;19;0x0
0;0;6824260468000;698;489.396;64;0x0
0;0;6846599840000;120;84.1368;18;0x0
0;1;6348646048000;470;497.965;53;0x0
0;1;6357440036000;497;526.572;50;0x0
0;1;6357440624000;69;73.1055;20;0x0
0;1;6405147344000;322;341.159;35;0x0
0;1;6476382288000;536;567.892;54;0x0
0;1;6530073144000;417;441.812;41;0x0
0;1;6537143148000;82;86.879;17;0x0
0;1;6824260472000;174;184.353;25;0x0
0;1;6846599832000;589;624.046;52;0x0
0;1;6882775532000;257;272.292;28;0x0
0;0;6882775532000;197;138.125;23;0x0
0;0;6943536084000;234;164.067;26;0x0
0;0;6954445844000;151;105.872;22;0x0
0;0;7020745664000;43;30.149;11;0x0
0;0;7060835216000;132;92.5505;20;0x0
0;0;7277050908000;493;345.662;41;0x0
0;0;7277051492000;58;40.6661;24;0x0
0;0;7365232896000;294;206.135;30;0x0
0;0;7409127152000;329;230.675;33;0x0
0;0;7442183192000;211;147.941;24;0x0
0;1;6943536076000;482;510.679;45;0x0
0;1;6954445840000;335;354.933;43;0x0
0;1;7020745656000;154;163.163;25;0x0
0;1;7060835204000;601;636.76;58;0x0
0;1;7277050916000;191;202.365;24;0x0
0;1;7277051524000;23;24.3685;9;0x0
0;1;7365232896000;299;316.791;30;0x0
0;1;7409127164000;119;126.081;19;0x0
0;1;7442183240000;89;94.2955;27;0x0
0;1;7478858464000;211;223.555;28;0x0
0;0;7478858460000;451;316.214;46;0x0
0;0;7546669320000;136;95.355;17;0x0
0;0;7668287612000;194;136.021;24;0x0
0;0;7677259264000;248;173.883;29;0x0
0;0;7729552876000;40;28.0456;12;0x0
0;0;7734136580000;475;333.041;49;0x0
0;0;7752751636000;129;90.4471;17;0x0
0;0;7780375108000;197;138.125;24;0x0
0;0;7803229824000;259;181.595;29;0x0
0;0;7831778592000;125;87.6425;17;0x0
0;1;7546669328000;122;129.259;23;0x0
0;1;7668287620000;120;127.14;19;0x0
0;1;7677259256000;1339;1418.67;111;0x0
0;1;7729552832000;310;328.445;35;0x0
0;1;7734136592000;168;177.996;24;0x0
0;1;7752751624000;590;625.105;58;0x0
0;1;7780375100000;547;579.547;53;0x0
0;1;7803229836000;145;153.628;25;0x0
0;1;7831778588000;172;182.234;27;0x0
0;1;7903050908000;354;375.063;43;0x0
0;0;7903050912000;204;143.033;23;0x0
0;0;7977681120000;48;33.6547;15;0x0
0;0;7978610484000;417;292.375;40;0x0
0;0;8094071684000;132;92.5505;15;0x0
0;0;8095361576000;70;49.0798;14;0x0
0;0;8135023584000;41;28.7467;9;0x0
0;0;8171388500000;109;76.4243;16;0x0
0;0;8275799280000;51;35.7581;15;0x0
0;0;8432360044000;127;89.0448;16;0x0
0;0;8533579960000;81;56.7923;16;0x0
0;1;7977681108000;102;108.069;22;0x0
0;1;7978610488000;283;299.839;32;0x0
0;1;8094071676000;586;620.867;59;0x0
0;1;8095361544000;506;536.107;49;0x0
0;1;8135023580000;122;129.259;20;0x0
0;1;8171388508000;128;135.616;21;0x0
0;1;8275799308000;426;451.347;47;0x0
0;1;8432360036000;567;600.737;57;0x0
0;1;8533579944000;557;590.142;55;0x0
0;1;8734067604000;121;128.2;20;0x0
0;0;8734067588000;351;246.1;37;0x0
0;0;8755072204000;690;483.787;65;0x0
0;0;8791085660000;201;140.929;20;0x0
0;0;8857278840000;115;80.6311;17;0x0
0;0;8935618672000;160;112.182;20;0x0
0;0;8960579132000;140;98.1596;21;0x0
0;0;8984076016000;212;148.642;25;0x0
0;0;9049738712000;77;53.9878;12;0x0
0;0;9076939368000;496;347.765;43;0x0
0;0;9166766576000;121;84.8379;19;0x0
0;1;8755072244000;65;68.8675;17;0x0
0;1;8791085656000;420;444.99;44;0x0
0;1;8857278828000;543;575.309;61;0x0
0;1;8935618660000;542;574.249;51;0x0
0;1;8960579156000;84;88.998;21;0x0
0;1;8984076020000;195;206.603;26;0x0
0;1;9049738692000;186;197.067;24;0x0
0;1;9076939396000;118;125.021;22;0x0
0;1;9166766564000;550;582.725;57;0x0
0;1;9707295340000;321;340.1;36;0x0
0;0;9707295348000;141;98.8607;18;0x0
0;0;9764196100000;144;100.964;18;0x0
0;0;9786767644000;171;119.895;26;0x0
0;0;9824488116000;69;48.3787;17;0x0
0;0;9846495264000;208;145.837;23;0x0
0;0;9869249856000;399;279.755;42;0x0
0;0;9869250404000;54;37.8616;24;0x0
0;0;9970100632000;653;457.844;60;0x0
0;0;9992475736000;360;252.41;37;0x0
0;0;10030318760000;73;51.1832;14;0x0
0;1;9764196088000;600;635.7;57;0x0
0;1;9786767636000;542;574.249;56;0x0
0;1;9824488092000;573;607.094;58;0x0
0;1;9846495248000;1024;1084.93;87;0x0
0;1;9869249856000;413;437.574;43;0x0
0;1;9970100636000;215;227.793;25;0x0
0;1;9992475740000;192;203.424;29;0x0
0;1;10030318756000;240;254.28;35;0x0
0;1;10049038300000;569;602.856;59;0x0
0;1;10167636220000;527;558.357;47;0x0
0;0;10049038316000;98;68.7117;15;0x0
0;0;10167636228000;183;128.309;27;0x0
0;0;10182787032000;260;182.296;27;0x0
0;0;10206687980000;274;192.112;32;0x0
0;0;10265411376000;211;147.941;22;0x0
0;0;10307714948000;59;41.3673;10;0x0
0;0;10553777596000;57;39.965;11;0x0
0;0;10602159416000;78;54.6889;14;0x0
0;0;10613858300000;79;55.3901;15;0x0
0;0;10738165168000;107;75.022;15;0x0
0;1;10182787032000;277;293.482;35;0x0
0;1;10206687980000;333;352.814;34;0x0
0;1;10265411376000;354;375.063;44;0x0
0;1;10307714924000;652;690.794;69;0x0
0;1;10553777664000;672;711.984;62;0x0
0;1;10602159400000;583;617.689;67;0x0
0;1;10613858296000;149;157.866;24;0x0
0;1;10738165164000;555;588.023;66;0x0
0;1;10938994548000;60;63.57;19;0x0
0;1;10960443864000;344;364.468;38;0x0
0;0;10938994508000;258;180.894;31;0x0
0;0;10960443884000;72;50.4821;12;0x0
0;0;10986599512000;254;178.09;22;0x0
0;0;10999090980000;37;25.9422;11;0x0
0;0;11028078960000;255;178.791;28;0x0
0;0;11136946940000;208;145.837;22;0x0
0;0;11168281656000;141;98.8607;16;0x0
0;0;11342710292000;143;100.263;22;0x0
0;0;11371602152000;34;23.8388;9;0x0
0;0;11413750152000;112;78.5277;16;0x0
0;1;10986599512000;252;266.994;30;0x0
0;1;10999090932000;374;396.253;45;0x0
0;1;11028078964000;225;238.388;33;0x0
0;1;11136946940000;354;375.063;40;0x0
0;1;11168281648000;294;311.493;34;0x0
0;1;11342710304000;95;100.653;18;0x0
0;1;11371602112000;256;271.232;27;0x0
0;1;11413750144000;284;300.898;31;0x0
0;1;11424800996000;195;206.603;28;0x0
0;1;11446409764000;592;627.224;59;0x0
0;0;11424800992000;277;194.216;29;0x0
0;0;11446409784000;101;70.8151;20;0x0
0;0;11562826716000;91;63.8037;16;0x0
0;0;11636142200000;222;155.653;28;0x0
0;0;11970562100000;494;346.363;43;0x0
0;0;11977068416000;58;40.6661;11;0x0
0;0;12051514844000;119;83.4357;16;0x0
0;0;12069751164000;278;194.917;32;0x0
0;0;12109420408000;177;124.102;26;0x0
0;0;12152902580000;57;39.965;12;0x0
0;1;11562826704000;417;441.812;52;0x0
0;1;11636142208000;107;113.367;19;0x0
0;1;11970562112000;123;130.319;19;0x0
0;1;11977068392000;573;607.094;53;0x0
0;1;12051514836000;542;574.249;58;0x0
0;1;12069751172000;180;190.71;26;0x0
0;1;12109420404000;530;561.535;52;0x0
0;1;12152902544000;661;700.33;73;0x0
0;1;12269760148000;449;475.716;53;0x0
0;1;12269760672000;82;86.879;29;0x0
0;0;12269760148000;384;269.238;41;0x0
0;0;12269760672000;42;29.4479;16;0x0
0;0;12277148836000;74;51.8844;13;0x0
0;0;12355968688000;110;77.1254;17;0x0
0;0;12372246604000;76;53.2866;28;0x0
0;0;12372247280000;16;11.2182;9;0x0
0;0;12505274508000;61;42.7695;15;0x0
0;0;12696772244000;93;65.206;15;0x0
0;0;12713922616000;330;231.376;39;0x0
0;0;12802212508000;50;35.057;12;0x0
0;1;12277148816000;220;233.09;26;0x0
0;1;12355968680000;617;653.712;68;0x0
0;1;12372246692000;286;303.017;28;0x0
0;1;12505274472000;593;628.284;54;0x0
0;1;12696772224000;282;298.779;32;0x0
0;1;12713922620000;138;146.211;19;0x0
