# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	1.00	69390475736000.00	57.00	60.39	20.00	nan	0.00	0.00	69390475760000.00	57.00	39.97	25.00	nan
0.00	1.00	69514264212000.00	423.00	448.17	46.00	nan	0.00	0.00	69514264216000.00	213.00	149.34	26.00	nan
0.00	1.00	69553129016000.00	522.00	553.06	49.00	nan	0.00	0.00	69553129024000.00	183.00	128.31	21.00	nan
0.00	1.00	69638200556000.00	1149.00	1217.37	116.00	nan	0.00	0.00	69638200564000.00	405.00	283.96	42.00	nan
0.00	1.00	69673333724000.00	604.00	639.94	60.00	nan	0.00	0.00	69673333740000.00	78.00	54.69	11.00	nan
0.00	0.00	69695424632000.00	226.00	158.46	24.00	nan	0.00	1.00	69695424632000.00	373.00	395.19	42.00	nan
0.00	0.00	69715031624000.00	269.00	188.61	28.00	nan	0.00	1.00	69715031632000.00	103.00	109.13	20.00	nan
0.00	1.00	69822622796000.00	575.00	609.21	52.00	nan	0.00	0.00	69822622808000.00	112.00	78.53	17.00	nan
0.00	1.00	69834231932000.00	615.00	651.59	70.00	nan	0.00	0.00	69834231948000.00	96.00	67.31	16.00	nan
0.00	1.00	69898674912000.00	327.00	346.46	37.00	nan	0.00	0.00	69898674924000.00	97.00	68.01	21.00	nan
0.00	1.00	69999723084000.00	517.00	547.76	47.00	nan	0.00	0.00	69999723096000.00	109.00	76.42	16.00	nan
0.00	1.00	70009592664000.00	583.00	617.69	63.00	nan	0.00	0.00	70009592680000.00	84.00	58.90	15.00	nan
0.00	1.00	70070539688000.00	116.00	122.90	21.00	nan	0.00	0.00	70070539764000.00	47.00	32.95	18.00	nan
0.00	1.00	70094888980000.00	428.00	453.47	46.00	nan	0.00	0.00	70094888984000.00	152.00	106.57	20.00	nan
0.00	1.00	70119636064000.00	540.00	572.13	55.00	nan	0.00	0.00	70119636072000.00	127.00	89.04	18.00	nan
0.00	1.00	70152364568000.00	543.00	575.31	54.00	nan	0.00	0.00	70152364572000.00	253.00	177.39	28.00	nan
0.00	1.00	70152365104000.00	78.00	82.64	29.00	nan	0.00	0.00	70152365188000.00	22.00	15.43	11.00	nan
0.00	1.00	70156890220000.00	592.00	627.22	65.00	nan	0.00	0.00	70156890232000.00	148.00	103.77	22.00	nan
0.00	1.00	70169257592000.00	326.00	345.40	40.00	nan	0.00	0.00	70169257596000.00	150.00	105.17	24.00	nan
0.00	0.00	70209928564000.00	451.00	316.21	46.00	nan	0.00	1.00	70209928572000.00	175.00	185.41	28.00	nan
0.00	1.00	70229632716000.00	231.00	244.75	27.00	nan	0.00	0.00	70229632728000.00	104.00	72.92	15.00	nan
0.00	0.00	70295744264000.00	4095.00	2871.17	344.00	nan	0.00	1.00	70295744280000.00	324.00	343.28	39.00	nan
0.00	1.00	70369180204000.00	503.00	532.93	51.00	nan	0.00	0.00	70369180204000.00	223.00	156.35	24.00	nan
0.00	0.00	70537515928000.00	121.00	84.84	15.00	nan	0.00	1.00	70537515928000.00	134.00	141.97	20.00	nan
0.00	1.00	70589793144000.00	19.00	20.13	7.00	nan	0.00	0.00	70589793220000.00	336.00	235.58	36.00	nan
0.00	0.00	70686619716000.00	349.00	244.70	39.00	nan	0.00	1.00	70686619740000.00	111.00	117.61	23.00	nan
0.00	1.00	70838083436000.00	559.00	592.26	53.00	nan	0.00	0.00	70838083452000.00	115.00	80.63	20.00	nan
0.00	1.00	70846468640000.00	582.00	616.63	59.00	nan	0.00	0.00	70846468672000.00	60.00	42.07	13.00	nan
0.00	1.00	70876038008000.00	523.00	554.12	50.00	nan	0.00	0.00	70876038012000.00	193.00	135.32	24.00	nan
0.00	1.00	70909728764000.00	623.00	660.07	71.00	nan	0.00	0.00	70909728796000.00	42.00	29.45	9.00	nan
0.00	1.00	70940601352000.00	636.00	673.84	54.00	nan	0.00	0.00	70940601412000.00	54.00	37.86	18.00	nan
0.00	0.00	71123810056000.00	621.00	435.41	53.00	nan	0.00	1.00	71123810064000.00	261.00	276.53	35.00	nan
0.00	1.00	71162376764000.00	330.00	349.63	41.00	nan	0.00	0.00	71162376768000.00	184.00	129.01	28.00	nan
0.00	0.00	71167630724000.00	1288.00	903.07	103.00	nan	0.00	1.00	71167630728000.00	655.00	693.97	59.00	nan
0.00	0.00	71274121760000.00	1359.00	952.85	96.00	nan	0.00	1.00	71274121784000.00	186.00	197.07	29.00	nan
0.00	0.00	71306083580000.00	514.00	360.39	44.00	nan	0.00	1.00	71306083608000.00	134.00	141.97	22.00	nan
0.00	1.00	71339922528000.00	313.00	331.62	33.00	nan	0.00	0.00	71339922580000.00	39.00	27.34	14.00	nan
0.00	1.00	71370865096000.00	569.00	602.86	57.00	nan	0.00	0.00	71370865108000.00	122.00	85.54	16.00	nan
0.00	0.00	71440629268000.00	169.00	118.49	22.00	nan	0.00	1.00	71440629316000.00	84.00	89.00	26.00	nan
0.00	1.00	71458999600000.00	581.00	615.57	65.00	nan	0.00	0.00	71458999640000.00	49.00	34.36	15.00	nan
0.00	1.00	71482604712000.00	262.00	277.59	33.00	nan	0.00	0.00	71482604712000.00	214.00	150.04	27.00	nan
0.00	0.00	71491447804000.00	650.00	455.74	59.00	nan	0.00	1.00	71491447820000.00	169.00	179.06	28.00	nan
0.00	1.00	71527692460000.00	490.00	519.15	45.00	nan	0.00	0.00	71527692464000.00	237.00	166.17	24.00	nan
0.00	1.00	71659313768000.00	548.00	580.61	58.00	nan	0.00	0.00	71659313772000.00	152.00	106.57	18.00	nan
0.00	1.00	71790286896000.00	497.00	526.57	51.00	nan	0.00	0.00	71790286900000.00	178.00	124.80	21.00	nan
0.00	1.00	71846929224000.00	294.00	311.49	30.00	nan	0.00	0.00	71846929224000.00	256.00	179.49	26.00	nan
0.00	1.00	71858883460000.00	302.00	319.97	35.00	nan	0.00	0.00	71858883488000.00	55.00	38.56	13.00	nan
0.00	1.00	72062488060000.00	599.00	634.64	53.00	nan	0.00	0.00	72062488084000.00	87.00	61.00	14.00	nan
0.00	0.00	72298550696000.00	600.00	420.68	51.00	nan	0.00	1.00	72298550700000.00	279.00	295.60	28.00	nan
0.00	1.00	72366744532000.00	195.00	206.60	25.00	nan	0.00	0.00	72366744532000.00	210.00	147.24	31.00	nan
0.00	0.00	72379793516000.00	486.00	340.75	49.00	nan	0.00	1.00	72379793536000.00	80.00	84.76	16.00	nan
0.00	0.00	72479043720000.00	476.00	333.74	45.00	nan	0.00	1.00	72479043732000.00	202.00	214.02	27.00	nan
0.00	1.00	72577423436000.00	601.00	636.76	54.00	nan	0.00	0.00	72577423468000.00	80.00	56.09	15.00	nan
0.00	1.00	72577600368000.00	960.00	1017.12	83.00	nan	0.00	0.00	72577600376000.00	645.00	452.24	62.00	nan
0.00	1.00	72628478980000.00	474.00	502.20	46.00	nan	0.00	0.00	72628478988000.00	178.00	124.80	20.00	nan
0.00	0.00	72645659012000.00	153.00	107.27	19.00	nan	0.00	1.00	72645659024000.00	110.00	116.55	21.00	nan
0.00	1.00	72663868488000.00	137.00	145.15	23.00	nan	0.00	0.00	72663868496000.00	73.00	51.18	13.00	nan
0.00	1.00	72766775744000.00	640.00	678.08	67.00	nan	0.00	0.00	72766775804000.00	46.00	32.25	14.00	nan
0.00	0.00	72787483200000.00	4095.00	2871.17	665.00	nan	0.00	1.00	72787483204000.00	4095.00	4338.65	487.00	nan
0.00	0.00	72846175472000.00	496.00	347.76	47.00	nan	0.00	1.00	72846175476000.00	365.00	386.72	41.00	nan
0.00	1.00	72947405452000.00	188.00	199.19	23.00	nan	0.00	0.00	72947405456000.00	159.00	111.48	20.00	nan
0.00	1.00	72972056248000.00	459.00	486.31	49.00	nan	0.00	0.00	72972056252000.00	269.00	188.61	32.00	nan
0.00	0.00	73138822476000.00	477.00	334.44	49.00	nan	0.00	1.00	73138822476000.00	357.00	378.24	40.00	nan
0.00	1.00	73198840844000.00	610.00	646.29	57.00	nan	0.00	0.00	73198840868000.00	82.00	57.49	17.00	nan
0.00	1.00	73231754212000.00	455.00	482.07	44.00	nan	0.00	0.00	73231754232000.00	107.00	75.02	15.00	nan
0.00	0.00	73344148484000.00	300.00	210.34	29.00	nan	0.00	1.00	73344148496000.00	111.00	117.61	17.00	nan
0.00	1.00	73496910824000.00	4095.00	4338.65	3.00	nan	0.00	0.00	73496910896000.00	116.00	81.33	13.00	nan
0.00	0.00	73621518696000.00	601.00	421.38	56.00	nan	0.00	1.00	73621518712000.00	139.00	147.27	22.00	nan
0.00	0.00	73718451296000.00	528.00	370.20	50.00	nan	0.00	1.00	73718451304000.00	166.00	175.88	24.00	nan
0.00	0.00	73741971700000.00	136.00	95.36	21.00	nan	0.00	1.00	73741971716000.00	102.00	108.07	22.00	nan
0.00	1.00	73805824972000.00	124.00	131.38	18.00	nan	0.00	0.00	73805824976000.00	41.00	28.75	10.00	nan
0.00	1.00	73887779540000.00	236.00	250.04	31.00	nan	0.00	0.00	73887779544000.00	207.00	145.14	25.00	nan
0.00	0.00	73925942020000.00	278.00	194.92	25.00	nan	0.00	1.00	73925942024000.00	291.00	308.31	29.00	nan
0.00	0.00	74007005908000.00	57.00	39.97	25.00	nan	0.00	1.00	74007005988000.00	72.00	76.28	27.00	nan
0.00	0.00	74140022556000.00	557.00	390.54	50.00	nan	0.00	1.00	74140022568000.00	125.00	132.44	19.00	nan
0.00	1.00	74167372532000.00	485.00	513.86	52.00	nan	0.00	0.00	74167372536000.00	229.00	160.56	27.00	nan
0.00	0.00	74240279900000.00	231.00	161.96	25.00	nan	0.00	1.00	74240279904000.00	181.00	191.77	31.00	nan
0.00	1.00	74262172460000.00	298.00	315.73	36.00	nan	0.00	0.00	74262172468000.00	77.00	53.99	11.00	nan
0.00	1.00	74319663136000.00	551.00	583.78	56.00	nan	0.00	0.00	74319663140000.00	219.00	153.55	27.00	nan
0.00	1.00	74319663668000.00	103.00	109.13	38.00	nan	0.00	0.00	74319663684000.00	27.00	18.93	10.00	nan
0.00	0.00	74346194060000.00	407.00	285.36	40.00	nan	0.00	1.00	74346194064000.00	224.00	237.33	35.00	nan
0.00	1.00	74379136620000.00	527.00	558.36	51.00	nan	0.00	0.00	74379136632000.00	139.00	97.46	21.00	nan
0.00	1.00	74400419284000.00	575.00	609.21	62.00	nan	0.00	0.00	74400419300000.00	98.00	68.71	14.00	nan
0.00	0.00	74471324484000.00	145.00	101.67	21.00	nan	0.00	1.00	74471324492000.00	104.00	110.19	15.00	nan
0.00	1.00	74528178620000.00	575.00	609.21	57.00	nan	0.00	0.00	74528178628000.00	108.00	75.72	15.00	nan
0.00	1.00	74602053684000.00	603.00	638.88	61.00	nan	0.00	0.00	74602053696000.00	115.00	80.63	17.00	nan
0.00	1.00	74659136056000.00	284.00	300.90	40.00	nan	0.00	0.00	74659136056000.00	414.00	290.27	44.00	nan
0.00	1.00	74689944520000.00	542.00	574.25	47.00	nan	0.00	0.00	74689944532000.00	129.00	90.45	16.00	nan
0.00	0.00	74700088672000.00	964.00	675.90	81.00	nan	0.00	1.00	74700088672000.00	136.00	144.09	22.00	nan
0.00	1.00	74748391960000.00	592.00	627.22	60.00	nan	0.00	0.00	74748391988000.00	68.00	47.68	13.00	nan
0.00	1.00	74838085236000.00	282.00	298.78	33.00	nan	0.00	0.00	74838085236000.00	587.00	411.57	53.00	nan
0.00	1.00	74838616272000.00	320.00	339.04	38.00	nan	0.00	0.00	74838616276000.00	163.00	114.29	19.00	nan
0.00	1.00	74850645448000.00	576.00	610.27	63.00	nan	0.00	0.00	74850645456000.00	90.00	63.10	15.00	nan
0.00	1.00	74929058296000.00	564.00	597.56	51.00	nan	0.00	0.00	74929058312000.00	115.00	80.63	17.00	nan
0.00	1.00	74949042728000.00	124.00	131.38	18.00	nan	0.00	0.00	74949042732000.00	65.00	45.57	12.00	nan
0.00	0.00	74950213228000.00	233.00	163.37	23.00	nan	0.00	1.00	74950213232000.00	266.00	281.83	38.00	nan
0.00	0.00	74956116944000.00	504.00	353.38	48.00	nan	0.00	1.00	74956116948000.00	312.00	330.56	36.00	nan
0.00	0.00	75013532816000.00	260.00	182.30	31.00	nan	0.00	1.00	75013532820000.00	172.00	182.23	23.00	nan
0.00	1.00	75016136076000.00	582.00	616.63	63.00	nan	0.00	0.00	75016136136000.00	52.00	36.46	20.00	nan
0.00	1.00	75028815748000.00	901.00	954.61	78.00	nan	0.00	0.00	75028815764000.00	70.00	49.08	12.00	nan
0.00	0.00	75191497324000.00	118.00	82.73	18.00	nan	0.00	1.00	75191497344000.00	62.00	65.69	17.00	nan
0.00	1.00	75219871020000.00	249.00	263.82	34.00	nan	0.00	0.00	75219871028000.00	46.00	32.25	10.00	nan
0.00	1.00	75430870520000.00	605.00	641.00	64.00	nan	0.00	0.00	75430870580000.00	56.00	39.26	16.00	nan
0.00	1.00	75473524048000.00	530.00	561.53	56.00	nan	0.00	0.00	75473524056000.00	214.00	150.04	25.00	nan
0.00	1.00	75476869236000.00	538.00	570.01	59.00	nan	0.00	0.00	75476869244000.00	127.00	89.04	16.00	nan
0.00	1.00	75515530904000.00	175.00	185.41	25.00	nan	0.00	0.00	75515530912000.00	98.00	68.71	13.00	nan
0.00	0.00	75632590404000.00	185.00	129.71	23.00	nan	0.00	1.00	75632590412000.00	181.00	191.77	28.00	nan
0.00	1.00	75698602240000.00	139.00	147.27	21.00	nan	0.00	0.00	75698602240000.00	177.00	124.10	22.00	nan
0.00	0.00	75730013908000.00	192.00	134.62	26.00	nan	0.00	1.00	75730013920000.00	171.00	181.18	30.00	nan
0.00	1.00	75780957772000.00	415.00	439.69	47.00	nan	0.00	0.00	75780957776000.00	168.00	117.79	22.00	nan
0.00	1.00	75866007020000.00	519.00	549.88	50.00	nan	0.00	0.00	75866007024000.00	213.00	149.34	25.00	nan
0.00	1.00	76035662244000.00	80.00	84.76	20.00	nan	0.00	0.00	76035662256000.00	60.00	42.07	18.00	nan
0.00	0.00	76101344168000.00	110.00	77.13	16.00	nan	0.00	1.00	76101344168000.00	197.00	208.72	23.00	nan
0.00	1.00	76118234584000.00	577.00	611.33	59.00	nan	0.00	0.00	76118234600000.00	99.00	69.41	15.00	nan
0.00	0.00	76298917712000.00	319.00	223.66	32.00	nan	0.00	1.00	76298917712000.00	314.00	332.68	36.00	nan
0.00	1.00	76301858064000.00	560.00	593.32	54.00	nan	0.00	0.00	76301858084000.00	75.00	52.59	15.00	nan
0.00	1.00	76365485636000.00	154.00	163.16	23.00	nan	0.00	0.00	76365485636000.00	115.00	80.63	17.00	nan
0.00	0.00	76491353256000.00	1110.00	778.26	90.00	nan	0.00	1.00	76491353272000.00	111.00	117.61	19.00	nan
0.00	1.00	76625639448000.00	212.00	224.61	27.00	nan	0.00	0.00	76625639464000.00	79.00	55.39	14.00	nan
0.00	1.00	76691707864000.00	585.00	619.81	58.00	nan	0.00	0.00	76691707872000.00	96.00	67.31	14.00	nan
0.00	1.00	76874173636000.00	658.00	697.15	64.00	nan	0.00	0.00	76874173664000.00	66.00	46.28	15.00	nan
0.00	1.00	76966609020000.00	473.00	501.14	54.00	nan	0.00	0.00	76966609020000.00	253.00	177.39	29.00	nan
0.00	0.00	76966609556000.00	41.00	28.75	21.00	nan	0.00	1.00	76966609560000.00	71.00	75.22	27.00	nan
0.00	1.00	77070443040000.00	335.00	354.93	39.00	nan	0.00	0.00	77070443068000.00	67.00	46.98	15.00	nan
0.00	0.00	77186594428000.00	369.00	258.72	34.00	nan	0.00	1.00	77186594432000.00	337.00	357.05	38.00	nan
0.00	1.00	77245060496000.00	528.00	559.42	56.00	nan	0.00	0.00	77245060500000.00	224.00	157.06	22.00	nan
0.00	0.00	77264110092000.00	487.00	341.45	43.00	nan	0.00	1.00	77264110104000.00	155.00	164.22	21.00	nan
0.00	1.00	77276902948000.00	489.00	518.10	45.00	nan	0.00	0.00	77276902952000.00	255.00	178.79	27.00	nan
0.00	0.00	77394656180000.00	50.00	35.06	12.00	nan	0.00	1.00	77394656204000.00	82.00	86.88	24.00	nan
0.00	0.00	77444536904000.00	489.00	342.86	50.00	nan	0.00	1.00	77444536912000.00	181.00	191.77	22.00	nan
0.00	1.00	77533883480000.00	461.00	488.43	48.00	nan	0.00	0.00	77533883496000.00	84.00	58.90	16.00	nan
0.00	1.00	77615620896000.00	135.00	143.03	21.00	nan	0.00	0.00	77615620988000.00	152.00	106.57	19.00	nan
0.00	0.00	77677019676000.00	482.00	337.95	42.00	nan	0.00	1.00	77677019684000.00	251.00	265.94	29.00	nan
0.00	1.00	77708956092000.00	635.00	672.78	57.00	nan	0.00	0.00	77708956108000.00	85.00	59.60	12.00	nan
0.00	1.00	77721604476000.00	507.00	537.17	46.00	nan	0.00	0.00	77721604488000.00	161.00	112.88	20.00	nan
0.00	1.00	77802101056000.00	300.00	317.85	35.00	nan	0.00	0.00	77802101068000.00	139.00	97.46	20.00	nan
0.00	1.00	77810883972000.00	431.00	456.64	55.00	nan	0.00	0.00	77810883972000.00	264.00	185.10	24.00	nan
0.00	0.00	77867187080000.00	1149.00	805.61	98.00	nan	0.00	1.00	77867187096000.00	129.00	136.68	19.00	nan
0.00	0.00	77867187796000.00	35.00	24.54	16.00	nan	0.00	1.00	77867187880000.00	5.00	5.30	4.00	nan
0.00	1.00	78039228084000.00	294.00	311.49	39.00	nan	0.00	0.00	78039228120000.00	55.00	38.56	11.00	nan
0.00	1.00	78055101252000.00	185.00	196.01	26.00	nan	0.00	0.00	78055101272000.00	44.00	30.85	14.00	nan
0.00	1.00	78060749552000.00	592.00	627.22	56.00	nan	0.00	0.00	78060749564000.00	114.00	79.93	16.00	nan
0.00	0.00	78191291828000.00	757.00	530.76	72.00	nan	0.00	1.00	78191291868000.00	76.00	80.52	23.00	nan
0.00	1.00	78481537212000.00	283.00	299.84	33.00	nan	0.00	0.00	78481537220000.00	128.00	89.75	17.00	nan
0.00	1.00	78521420400000.00	1889.00	2001.40	137.00	nan	0.00	0.00	78521420420000.00	201.00	140.93	25.00	nan
0.00	0.00	78575742776000.00	250.00	175.28	25.00	nan	0.00	1.00	78575742784000.00	166.00	175.88	27.00	nan
0.00	1.00	78671575800000.00	253.00	268.05	29.00	nan	0.00	0.00	78671575860000.00	445.00	312.01	46.00	nan
0.00	0.00	78716872436000.00	170.00	119.19	23.00	nan	0.00	1.00	78716872444000.00	155.00	164.22	24.00	nan
0.00	0.00	78815942060000.00	87.00	61.00	12.00	nan	0.00	1.00	78815942064000.00	111.00	117.61	19.00	nan
0.00	1.00	78839662832000.00	455.00	482.07	42.00	nan	0.00	0.00	78839662836000.00	280.00	196.32	30.00	nan
0.00	1.00	78859264548000.00	331.00	350.69	42.00	nan	0.00	0.00	78859264552000.00	141.00	98.86	18.00	nan
0.00	1.00	78880114536000.00	562.00	595.44	55.00	nan	0.00	0.00	78880114552000.00	146.00	102.37	20.00	nan
0.00	1.00	78915746528000.00	527.00	558.36	59.00	nan	0.00	0.00	78915746532000.00	153.00	107.27	22.00	nan
0.00	1.00	79242778776000.00	642.00	680.20	66.00	nan	0.00	0.00	79242778848000.00	37.00	25.94	16.00	nan
0.00	1.00	79490239196000.00	258.00	273.35	32.00	nan	0.00	0.00	79490239200000.00	129.00	90.45	18.00	nan
0.00	1.00	79624039952000.00	555.00	588.02	58.00	nan	0.00	0.00	79624039964000.00	122.00	85.54	18.00	nan
0.00	0.00	79626157200000.00	545.00	382.12	50.00	nan	0.00	1.00	79626157204000.00	341.00	361.29	45.00	nan
0.00	1.00	79655852920000.00	565.00	598.62	52.00	nan	0.00	0.00	79655852936000.00	110.00	77.13	18.00	nan
0.00	1.00	79734913240000.00	613.00	649.47	62.00	nan	0.00	0.00	79734913260000.00	58.00	40.67	10.00	nan
0.00	1.00	79789246664000.00	178.00	188.59	23.00	nan	0.00	0.00	79789246684000.00	67.00	46.98	12.00	nan
0.00	1.00	79807978152000.00	373.00	395.19	44.00	nan	0.00	0.00	79807978160000.00	148.00	103.77	18.00	nan
0.00	0.00	79949097396000.00	168.00	117.79	22.00	nan	0.00	1.00	79949097400000.00	143.00	151.51	22.00	nan
0.00	1.00	79977376260000.00	627.00	664.31	65.00	nan	0.00	0.00	79977376272000.00	91.00	63.80	15.00	nan
0.00	0.00	79986345364000.00	131.00	91.85	18.00	nan	0.00	1.00	79986345368000.00	159.00	168.46	23.00	nan
0.00	1.00	80052103852000.00	240.00	254.28	28.00	nan	0.00	0.00	80052103888000.00	68.00	47.68	14.00	nan
0.00	1.00	80082053136000.00	404.00	428.04	44.00	nan	0.00	0.00	80082053144000.00	179.00	125.50	27.00	nan
0.00	0.00	80136409788000.00	531.00	372.31	53.00	nan	0.00	1.00	80136409804000.00	156.00	165.28	30.00	nan
0.00	1.00	80181833740000.00	573.00	607.09	57.00	nan	0.00	0.00	80181833756000.00	80.00	56.09	15.00	nan
0.00	0.00	80250822304000.00	389.00	272.74	37.00	nan	0.00	1.00	80250822324000.00	117.00	123.96	22.00	nan
0.00	1.00	80543712592000.00	394.00	417.44	48.00	nan	0.00	0.00	80543712616000.00	93.00	65.21	18.00	nan
0.00	1.00	80642342436000.00	537.00	568.95	60.00	nan	0.00	0.00	80642342440000.00	146.00	102.37	17.00	nan
0.00	0.00	80676062068000.00	421.00	295.18	44.00	nan	0.00	1.00	80676062072000.00	177.00	187.53	24.00	nan
0.00	0.00	80756765960000.00	395.00	276.95	36.00	nan	0.00	1.00	80756765980000.00	76.00	80.52	16.00	nan
0.00	0.00	80760132504000.00	478.00	335.14	39.00	nan	0.00	1.00	80760132512000.00	249.00	263.82	31.00	nan
0.00	1.00	80833953028000.00	527.00	558.36	51.00	nan	0.00	0.00	80833953032000.00	228.00	159.86	25.00	nan
0.00	1.00	80857141284000.00	211.00	223.56	29.00	nan	0.00	0.00	80857141288000.00	80.00	56.09	11.00	nan
0.00	1.00	80957846292000.00	360.00	381.42	41.00	nan	0.00	0.00	80957846296000.00	198.00	138.83	23.00	nan
0.00	0.00	80981043288000.00	139.00	97.46	19.00	nan	0.00	1.00	80981043288000.00	148.00	156.81	23.00	nan
0.00	1.00	81013476048000.00	396.00	419.56	41.00	nan	0.00	0.00	81013476056000.00	183.00	128.31	20.00	nan
0.00	0.00	81013476620000.00	23.00	16.13	12.00	nan	0.00	1.00	81013476624000.00	53.00	56.15	20.00	nan
0.00	0.00	81015429372000.00	239.00	167.57	25.00	nan	0.00	1.00	81015429412000.00	183.00	193.89	26.00	nan
0.00	0.00	81025164936000.00	814.00	570.73	74.00	nan	0.00	1.00	81025164948000.00	129.00	136.68	18.00	nan
0.00	1.00	81076925704000.00	214.00	226.73	30.00	nan	0.00	0.00	81076925704000.00	172.00	120.60	20.00	nan
0.00	1.00	81144019560000.00	552.00	584.84	60.00	nan	0.00	0.00	81144019564000.00	164.00	114.99	17.00	nan
0.00	1.00	81194174072000.00	553.00	585.90	54.00	nan	0.00	0.00	81194174080000.00	161.00	112.88	22.00	nan
0.00	0.00	81208137108000.00	256.00	179.49	28.00	nan	0.00	1.00	81208137108000.00	248.00	262.76	34.00	nan
0.00	1.00	81248023900000.00	521.00	552.00	48.00	nan	0.00	0.00	81248023920000.00	84.00	58.90	15.00	nan
0.00	0.00	81373254904000.00	336.00	235.58	34.00	nan	0.00	1.00	81373254920000.00	122.00	129.26	24.00	nan
0.00	0.00	81449017044000.00	221.00	154.95	24.00	nan	0.00	1.00	81449017052000.00	153.00	162.10	22.00	nan
0.00	1.00	81587850996000.00	425.00	450.29	54.00	nan	0.00	0.00	81587851016000.00	47.00	32.95	12.00	nan
0.00	0.00	81631613696000.00	324.00	227.17	31.00	nan	0.00	1.00	81631613700000.00	426.00	451.35	42.00	nan
0.00	1.00	81648865912000.00	415.00	439.69	43.00	nan	0.00	0.00	81648865916000.00	232.00	162.66	25.00	nan
0.00	1.00	81686133628000.00	543.00	575.31	49.00	nan	0.00	0.00	81686133648000.00	74.00	51.88	14.00	nan
0.00	1.00	81691135596000.00	550.00	582.73	57.00	nan	0.00	0.00	81691135612000.00	130.00	91.15	20.00	nan
0.00	1.00	81696696340000.00	638.00	675.96	66.00	nan	0.00	0.00	81696696364000.00	70.00	49.08	14.00	nan
0.00	0.00	81795271068000.00	144.00	100.96	17.00	nan	0.00	1.00	81795271080000.00	105.00	111.25	23.00	nan
0.00	1.00	81814656900000.00	458.00	485.25	49.00	nan	0.00	0.00	81814656900000.00	209.00	146.54	25.00	nan
0.00	0.00	81884874260000.00	578.00	405.26	54.00	nan	0.00	1.00	81884874276000.00	161.00	170.58	34.00	nan
0.00	1.00	81965691904000.00	308.00	326.33	38.00	nan	0.00	0.00	81965691920000.00	51.00	35.76	11.00	nan
0.00	1.00	82016982296000.00	449.00	475.72	46.00	nan	0.00	0.00	82016982296000.00	357.00	250.31	38.00	nan
0.00	1.00	82022840836000.00	282.00	298.78	33.00	nan	0.00	0.00	82022840844000.00	108.00	75.72	13.00	nan
0.00	0.00	82112654740000.00	155.00	108.68	17.00	nan	0.00	1.00	82112654744000.00	211.00	223.56	32.00	nan
0.00	1.00	82374701068000.00	1078.00	1142.14	97.00	nan	0.00	0.00	82374701076000.00	447.00	313.41	46.00	nan
0.00	0.00	82426325104000.00	324.00	227.17	34.00	nan	0.00	1.00	82426325124000.00	109.00	115.49	16.00	nan
0.00	1.00	82446367700000.00	222.00	235.21	26.00	nan	0.00	0.00	82446367724000.00	54.00	37.86	11.00	nan
0.00	0.00	82604010796000.00	972.00	681.51	82.00	nan	0.00	1.00	82604010812000.00	20.00	21.19	13.00	nan
0.00	1.00	82665051400000.00	608.00	644.18	49.00	nan	0.00	0.00	82665051420000.00	80.00	56.09	14.00	nan
0.00	1.00	82674573300000.00	378.00	400.49	47.00	nan	0.00	0.00	82674573304000.00	247.00	173.18	31.00	nan
0.00	1.00	82713525428000.00	576.00	610.27	59.00	nan	0.00	0.00	82713525444000.00	99.00	69.41	15.00	nan
0.00	0.00	82803161476000.00	199.00	139.53	22.00	nan	0.00	1.00	82803161480000.00	178.00	188.59	26.00	nan
0.00	0.00	83091759208000.00	45.00	31.55	20.00	nan	0.00	1.00	83091759212000.00	842.00	892.10	89.00	nan
0.00	1.00	83204958848000.00	626.00	663.25	62.00	nan	0.00	0.00	83204958900000.00	44.00	30.85	14.00	nan
0.00	1.00	83275896140000.00	520.00	550.94	51.00	nan	0.00	0.00	83275896148000.00	158.00	110.78	21.00	nan
0.00	0.00	83371639700000.00	285.00	199.82	34.00	nan	0.00	1.00	83371639732000.00	76.00	80.52	19.00	nan
0.00	1.00	83400284824000.00	619.00	655.83	49.00	nan	0.00	0.00	83400284840000.00	122.00	85.54	14.00	nan
0.00	1.00	83411878036000.00	564.00	597.56	65.00	nan	0.00	0.00	83411878044000.00	156.00	109.38	21.00	nan
0.00	1.00	83535396480000.00	355.00	376.12	42.00	nan	0.00	0.00	83535396488000.00	86.00	60.30	12.00	nan
0.00	1.00	83609746800000.00	627.00	664.31	51.00	nan	0.00	0.00	83609746816000.00	84.00	58.90	12.00	nan
0.00	0.00	83662527712000.00	456.00	319.72	44.00	nan	0.00	1.00	83662527780000.00	930.00	985.34	86.00	nan
0.00	1.00	83723614568000.00	203.00	215.08	28.00	nan	0.00	0.00	83723614568000.00	223.00	156.35	27.00	nan
0.00	1.00	83841018224000.00	546.00	578.49	53.00	nan	0.00	0.00	83841018236000.00	126.00	88.34	16.00	nan
0.00	1.00	83892404128000.00	183.00	193.89	27.00	nan	0.00	0.00	83892404136000.00	104.00	72.92	16.00	nan
0.00	1.00	84229860980000.00	619.00	655.83	54.00	nan	0.00	0.00	84229861000000.00	69.00	48.38	14.00	nan
0.00	0.00	84310909528000.00	113.00	79.23	16.00	nan	0.00	1.00	84310909532000.00	141.00	149.39	21.00	nan
