# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	0.00	3454586948000.00	276.00	193.51	30.00	nan	0.00	1.00	3454586960000.00	149.00	157.87	22.00	nan
0.00	1.00	3582043776000.00	848.00	898.46	78.00	nan	0.00	0.00	3582043780000.00	350.00	245.40	31.00	nan
0.00	1.00	3598717532000.00	619.00	655.83	63.00	nan	0.00	0.00	3598717548000.00	60.00	42.07	8.00	nan
0.00	1.00	3621195980000.00	240.00	254.28	29.00	nan	0.00	0.00	3621195988000.00	117.00	82.03	18.00	nan
0.00	1.00	3755355292000.00	384.00	406.85	44.00	nan	0.00	0.00	3755355296000.00	332.00	232.78	33.00	nan
0.00	1.00	3869122616000.00	565.00	598.62	50.00	nan	0.00	0.00	3869122636000.00	98.00	68.71	16.00	nan
0.00	1.00	4027034364000.00	504.00	533.99	52.00	nan	0.00	0.00	4027034376000.00	144.00	100.96	19.00	nan
0.00	1.00	4110331792000.00	442.00	468.30	53.00	nan	0.00	0.00	4110331796000.00	134.00	93.95	18.00	nan
0.00	1.00	4405512264000.00	279.00	295.60	33.00	nan	0.00	0.00	4405512280000.00	93.00	65.21	15.00	nan
0.00	1.00	4407363740000.00	527.00	558.36	50.00	nan	0.00	0.00	4407363744000.00	148.00	103.77	17.00	nan
0.00	1.00	4443584448000.00	574.00	608.15	55.00	nan	0.00	0.00	4443584504000.00	55.00	38.56	16.00	nan
0.00	1.00	4462013852000.00	418.00	442.87	46.00	nan	0.00	0.00	4462013852000.00	267.00	187.20	31.00	nan
0.00	1.00	4511758968000.00	118.00	125.02	20.00	nan	0.00	0.00	4511759024000.00	174.00	122.00	20.00	nan
0.00	1.00	4700074632000.00	576.00	610.27	66.00	nan	0.00	0.00	4700074636000.00	181.00	126.91	22.00	nan
0.00	0.00	4740418200000.00	403.00	282.56	37.00	nan	0.00	1.00	4740418204000.00	300.00	317.85	41.00	nan
0.00	1.00	4763879144000.00	287.00	304.08	35.00	nan	0.00	0.00	4763879184000.00	134.00	93.95	20.00	nan
0.00	1.00	4925217872000.00	218.00	230.97	27.00	nan	0.00	0.00	4925217876000.00	101.00	70.82	15.00	nan
0.00	0.00	4965701228000.00	393.00	275.55	39.00	nan	0.00	1.00	4965701232000.00	223.00	236.27	32.00	nan
0.00	1.00	4999139476000.00	376.00	398.37	37.00	nan	0.00	0.00	4999139488000.00	133.00	93.25	18.00	nan
0.00	1.00	5100370608000.00	559.00	592.26	58.00	nan	0.00	0.00	5100370620000.00	128.00	89.75	17.00	nan
0.00	1.00	5243575836000.00	633.00	670.66	66.00	nan	0.00	0.00	5243575848000.00	99.00	69.41	17.00	nan
0.00	1.00	5253451324000.00	554.00	586.96	59.00	nan	0.00	0.00	5253451328000.00	184.00	129.01	19.00	nan
0.00	1.00	5408988448000.00	645.00	683.38	65.00	nan	0.00	0.00	5408988536000.00	45.00	31.55	16.00	nan
0.00	0.00	5452833432000.00	295.00	206.84	30.00	nan	0.00	1.00	5452833444000.00	132.00	139.85	19.00	nan
0.00	0.00	5456658460000.00	236.00	165.47	27.00	nan	0.00	1.00	5456658472000.00	135.00	143.03	20.00	nan
0.00	0.00	5537899696000.00	227.00	159.16	28.00	nan	0.00	1.00	5537899700000.00	147.00	155.75	21.00	nan
0.00	0.00	5574871036000.00	242.00	169.68	25.00	nan	0.00	1.00	5574871044000.00	158.00	167.40	20.00	nan
0.00	1.00	5630208892000.00	528.00	559.42	64.00	nan	0.00	0.00	5630208896000.00	178.00	124.80	21.00	nan
0.00	1.00	5737841536000.00	601.00	636.76	59.00	nan	0.00	0.00	5737841552000.00	66.00	46.28	12.00	nan
0.00	1.00	5766373936000.00	513.00	543.52	50.00	nan	0.00	0.00	5766373940000.00	184.00	129.01	25.00	nan
0.00	0.00	5770634168000.00	1049.00	735.50	82.00	nan	0.00	1.00	5770634168000.00	688.00	728.94	58.00	nan
0.00	0.00	5828786228000.00	66.00	46.28	11.00	nan	0.00	1.00	5828786232000.00	125.00	132.44	24.00	nan
0.00	1.00	5834256156000.00	512.00	542.46	46.00	nan	0.00	0.00	5834256164000.00	195.00	136.72	24.00	nan
0.00	0.00	5838109124000.00	143.00	100.26	16.00	nan	0.00	1.00	5838109152000.00	85.00	90.06	25.00	nan
0.00	0.00	5913298272000.00	455.00	319.02	47.00	nan	0.00	1.00	5913298284000.00	248.00	262.76	41.00	nan
0.00	1.00	5940901580000.00	522.00	553.06	58.00	nan	0.00	0.00	5940901592000.00	165.00	115.69	20.00	nan
0.00	1.00	5988069212000.00	351.00	371.88	44.00	nan	0.00	0.00	5988069216000.00	205.00	143.73	23.00	nan
0.00	1.00	6065511444000.00	1478.00	1565.94	118.00	nan	0.00	0.00	6065511464000.00	112.00	78.53	16.00	nan
0.00	1.00	6336461784000.00	341.00	361.29	41.00	nan	0.00	0.00	6336461788000.00	282.00	197.72	35.00	nan
0.00	1.00	6348646048000.00	470.00	497.96	53.00	nan	0.00	0.00	6348646076000.00	58.00	40.67	12.00	nan
0.00	1.00	6357440036000.00	497.00	526.57	50.00	nan	0.00	0.00	6357440044000.00	270.00	189.31	35.00	nan
0.00	1.00	6405147344000.00	322.00	341.16	35.00	nan	0.00	0.00	6405147356000.00	88.00	61.70	13.00	nan
0.00	1.00	6476382288000.00	536.00	567.89	54.00	nan	0.00	0.00	6476382296000.00	197.00	138.12	23.00	nan
0.00	1.00	6530073144000.00	417.00	441.81	41.00	nan	0.00	0.00	6530073148000.00	306.00	214.55	37.00	nan
0.00	0.00	6537143140000.00	182.00	127.61	19.00	nan	0.00	1.00	6537143148000.00	82.00	86.88	17.00	nan
0.00	0.00	6824260468000.00	698.00	489.40	64.00	nan	0.00	1.00	6824260472000.00	174.00	184.35	25.00	nan
0.00	1.00	6846599832000.00	589.00	624.05	52.00	nan	0.00	0.00	6846599840000.00	120.00	84.14	18.00	nan
0.00	1.00	6882775532000.00	257.00	272.29	28.00	nan	0.00	0.00	6882775532000.00	197.00	138.12	23.00	nan
0.00	1.00	6943536076000.00	482.00	510.68	45.00	nan	0.00	0.00	6943536084000.00	234.00	164.07	26.00	nan
0.00	1.00	6954445840000.00	335.00	354.93	43.00	nan	0.00	0.00	6954445844000.00	151.00	105.87	22.00	nan
0.00	1.00	7020745656000.00	154.00	163.16	25.00	nan	0.00	0.00	7020745664000.00	43.00	30.15	11.00	nan
0.00	1.00	7060835204000.00	601.00	636.76	58.00	nan	0.00	0.00	7060835216000.00	132.00	92.55	20.00	nan
0.00	0.00	7277050908000.00	493.00	345.66	41.00	nan	0.00	1.00	7277050916000.00	191.00	202.37	24.00	nan
